정류장ID,정류장명,정류장번호,위도,경도
JUB312101787,배을마을입구,31786,35.93120193,127.1440822
JUB312101789,배을마을입구,31788,35.93137801,127.1437891
JUB312101790,배을마을입구,31789,35.93168,127.1439481
JUB312101791,배을마을입구,31790,35.93175899,127.1441274
JUB311101573,백구,31572,35.89038737,126.9699552
JUB311101575,백구,31574,35.89050602,126.9701521
JUB312032721,백도마을,36055,36.0027221,127.1622457
JUB312032722,백도마을,36056,36.0025869,127.1622463
JUB312032707,백석,36041,36.0884646,127.2346961
JUB312032708,백석,36042,36.0882845,127.2347634
JUB306101548,백석네거리,31547,35.88683883,127.1296252
JUB306101549,백석네거리,31548,35.88698345,127.1296994
JUB306101558,백석마을,31557,35.88839492,127.1274681
JUB306101561,백석마을,31560,35.88857992,127.1277781
JUB306101523,백석제,31522,35.88356675,127.1286996
JUB306101524,백석제,31523,35.88364057,127.1284352
JUB312100167,백암마을,30167,35.75219667,127.2184735
JUB312100168,백암마을,30168,35.75260431,127.2186473
JUB305032444,백오동삼거리,36378,35.7216606,127.0375371
JUB305032445,백오동삼거리,36379,35.7216148,127.0373494
JUB312102002,백운암마을,32002,35.88925534,127.2428115
JUB312102003,백운암마을,32003,35.88920266,127.2430335
JUB305032349,백운암마을,36243,35.895453,127.2419025
JUB305032350,백운암마을,36244,35.8956511,127.2417911
JUB306101029,백자동,31028,35.84109586,127.1709129
JUB306101039,백자동,31038,35.84183281,127.1716453
JUB306101023,백자삼거리,31022,35.8411902,127.1719365
JUB312101967,백제대,31966,35.99473314,127.1277487
JUB312101970,백제대,31969,35.99493719,127.1276437
JUB305100746,백제대로중산공원,30746,35.8242611,127.1224763
JUB306101092,백제대로한국전기안전공사,31091,35.847482,127.155015
JUB305100518,백제대로효자광장,30518,35.80664945,127.1233829
JUB312032194,백제대원룸단지,32194,35.99298003,127.1224378
JUB312032195,백제대원룸단지,32195,35.99302858,127.1216831
JUB312032196,백제대입구,32196,35.98481421,127.1174937
JUB312032197,백제대입구,32197,35.98484455,127.1167171
JUB312032347,번대마을,32347,36.00062288,127.2302949
JUB312032348,번대마을,32348,36.00046009,127.2302077
JUB306101436,번영로용덕마을,31435,35.87489681,127.0501002
JUB306101451,번영로용덕마을,31450,35.87570467,127.0484127
JUB305032417,법원.검찰청.만성에코르,36351,35.8448357,127.0773503
JUB305032414,법원.검찰청.만성중흥S클래스,36348,35.8447105,127.0776389
JUB306101141,법조타운입구,31140,35.85146089,127.0787078
JUB312101622,벽성대,31621,35.89917939,127.1560683
JUB312101624,벽성대,31623,35.89933762,127.1565564
JUB312101718,별산리,31717,35.9188789,127.0948698
JUB312101721,별산리,31720,35.91914535,127.0948928
JUB312101792,보상마을,31791,35.9319952,127.168542
JUB312101793,보상마을,31792,35.9320858,127.1686913
JUB305100636,보훈지청 롯데마트,30636,35.81647317,127.1019943
JUB312101255,복고시기마을,31254,35.85897688,127.1891643
JUB312101257,복고시기마을,31256,35.85916459,127.1891236
JUB312102024,봉계마을,32024,35.91302042,127.1798574
JUB312132239,봉곡,32239,35.96372128,127.1801523
JUB312132240,봉곡,32240,35.96379459,127.1803289
JUB305032510,봉덕교삼거리,36444,35.8678389,127.2493261
JUB305032513,봉덕교삼거리,36447,35.8678617,127.2494756
JUB312101386,봉덕마을,31385,35.86949423,127.2517424
JUB312101391,봉덕마을,31390,35.87014164,127.2520249
JUB312101825,봉동농협,31824,35.93872548,127.1666817
JUB312101828,봉동농협,31827,35.93914303,127.1672917
JUB312101806,봉동신기마을,31805,35.93479253,127.1557163
JUB312101808,봉동신기마을,31807,35.93495534,127.155716
JUB312101839,봉동신진맨션아파트,31838,35.9419505,127.1686741
JUB312101841,봉동신진맨션아파트,31840,35.94217268,127.1685887
JUB312032803,봉동오투그란데,36272,35.9948936,127.1301236
JUB305032370,봉동오투그란데,36304,35.9951106,127.1303445
JUB305032480,봉동읍생활복지센터,36414,35.9419219,127.1646843
JUB312101819,봉동전통시장,31818,35.93746305,127.1684128
JUB312101820,봉동전통시장,31819,35.93783158,127.1681545
JUB312101781,봉동주공아파트,31780,35.92929823,127.1608344
JUB312101782,봉동주공아파트,31781,35.92952914,127.1612351
JUB312101924,봉산마을,31923,35.96993155,127.1729352
JUB312101926,봉산마을,31925,35.96999628,127.1722063
JUB312032367,봉산마을,32367,36.04346007,127.1904814
JUB312032368,봉산마을,32368,36.0434036,127.1901269
JUB311100275,봉산마을삼성생명연수원,30275,35.77928343,127.0166442
